username,review_date,movie_title,movie_slug,score,helpful_responses,total_responses
0102,2011-02-05,Black Swan,/movie/black-swan,10,3,5
0102,2011-01-15,Love and Other Drugs,/movie/love-and-other-drugs,10,0,1
0102,2011-01-09,The Kids Are All Right,/movie/the-kids-are-all-right,10,0,0
0102,2011-01-06,The Social Network,/movie/the-social-network,10,0,2
1111,2011-01-21,The Social Network,/movie/the-social-network,10,1,3
1111,2011-01-21,The Dilemma,/movie/the-dilemma,0,1,1
1234,2011-09-07,The Hurt Locker,/movie/the-hurt-locker,1,3,5
1234,2011-09-07,Harry Potter and the Deathly Hallows: Part 2,/movie/harry-potter-and-the-deathly-hallows-part-2,8,0,0
1234,2011-09-07,Gangs of New York,/movie/gangs-of-new-york,10,0,0
13xx,2014-02-16,Gravity,/movie/gravity,10,0,1
1966Zodiac,2011-07-10,Goodfellas,/movie/goodfellas,8,0,1
1966Zodiac,2011-07-10,Raging Bull,/movie/raging-bull,1,2,12
1966Zodiac,2011-07-08,Ip Man 2,/movie/ip-man-2,7,1,1
1966Zodiac,2010-10-09,District 9,/movie/district-9,10,0,0
1966Zodiac,2010-10-06,The Departed,/movie/the-departed,3,2,7
1966Zodiac,2010-10-06,Avatar,/movie/avatar,7,0,1
1966Zodiac,2010-10-06,Who Framed Roger Rabbit,/movie/who-framed-roger-rabbit,10,0,0
1966Zodiac,2010-10-06,Toy Story 3,/movie/toy-story-3,10,0,0
1966Zodiac,2010-10-06,The Iron Giant,/movie/the-iron-giant,10,1,1
1966Zodiac,2010-10-06,The Dark Knight,/movie/the-dark-knight,10,0,0
1966Zodiac,2010-10-06,Inception,/movie/inception,10,0,2
1966Zodiac,2010-08-17,Letters from Iwo Jima,/movie/letters-from-iwo-jima,10,1,2
1966Zodiac,2010-08-16,Kill Bill: Vol. 2,/movie/kill-bill-vol-2,4,0,3
1966Zodiac,2010-08-16,Schindler's List,/movie/schindlers-list,10,1,1
1gaycurmudgeon,2011-12-02,The Descendants,/movie/the-descendants,9,0,0
1gaycurmudgeon,2011-12-02,The Artist,/movie/the-artist,6,0,3
2008CRNA,2011-01-01,Toy Story 3,/movie/toy-story-3,9,0,0
21DaHoagie12,2013-02-04,Spirited Away,/movie/spirited-away,10,1,1
21DaHoagie12,2013-01-08,Harry Potter and the Deathly Hallows: Part I,/movie/harry-potter-and-the-deathly-hallows-part-i,0,0,1
21DaHoagie12,2013-01-08,The Lord of the Rings: The Return of the King,/movie/the-lord-of-the-rings-the-return-of-the-king,10,2,3
21grams,2015-01-22,Interstellar,/movie/interstellar,7,0,0
21grams,2015-01-17,Birdman or (The Unexpected Virtue of Ignorance),/movie/birdman-or-the-unexpected-virtue-of-ignorance,5,4,6
234metalhead,2014-01-04,American Hustle,/movie/american-hustle,8,1,3
2GUI2,2011-08-22,Meek's Cutoff,/movie/meeks-cutoff,9,1,1
2GUI2,2011-07-11,X-Men: First Class,/movie/x-men-first-class,7,0,0
2GUI2,2011-07-07,Boogie Nights,/movie/boogie-nights,10,3,5
2GUI2,2011-02-27,Unknown,/movie/unknown-2011,10,0,2
2GUI2,2011-02-25,Winter's Bone,/movie/winters-bone,9,0,0
2GUI2,2011-02-18,Black Swan,/movie/black-swan,8,0,2
2GUI2,2011-01-05,Julie & Julia,/movie/julie-julia,6,0,1
2GUI2,2010-12-30,Unstoppable,/movie/unstoppable,7,0,0
2GUI2,2010-12-30,Harry Potter and the Deathly Hallows: Part I,/movie/harry-potter-and-the-deathly-hallows-part-i,8,0,0
2thepoint,2014-03-30,Noah,/movie/noah,1,8,15
2thepoint,2014-01-09,The Wolf of Wall Street,/movie/the-wolf-of-wall-street,8,3,6
2thepoint,2013-12-23,Tyler Perry's A Madea Christmas,/movie/tyler-perrys-a-madea-christmas,0,3,3
2thepoint,2013-11-03,12 Years a Slave,/movie/12-years-a-slave,3,9,26
3bythesea,2014-09-11,Boyhood,/movie/boyhood,1,0,4
3ebfan511,2015-03-31,Captain America: The Winter Soldier,/movie/captain-america-the-winter-soldier,5,1,1
3ebfan511,2015-03-13,Virunga,/movie/virunga,8,0,0
3ebfan511,2015-03-06,Fifty Shades of Grey,/movie/fifty-shades-of-grey,6,0,2
3ebfan511,2015-03-03,Citizenfour,/movie/citizenfour,5,0,0
3ebfan511,2015-03-01,Gone Girl,/movie/gone-girl,3,0,1
3ebfan511,2015-03-01,Edge of Tomorrow,/movie/edge-of-tomorrow,2,1,4
43in2014,2015-02-15,Paddington,/movie/paddington,6,0,2
43in2014,2014-12-27,Big Hero 6,/movie/big-hero-6,6,0,1
43in2014,2014-11-11,Interstellar,/movie/interstellar,8,0,0
43in2014,2014-10-31,Thor: The Dark World,/movie/thor-the-dark-world,6,0,0
43in2014,2014-10-31,Frozen,/movie/frozen-2013,9,0,0
43in2014,2014-10-31,The Hunger Games: Catching Fire,/movie/the-hunger-games-catching-fire,10,0,0
43in2014,2014-10-31,Ida,/movie/ida,6,0,0
43in2014,2014-10-31,Guardians of the Galaxy,/movie/guardians-of-the-galaxy,8,1,1
43in2014,2014-10-31,Gone Girl,/movie/gone-girl,8,1,3
43in2014,2014-07-18,Dawn of the Planet of the Apes,/movie/dawn-of-the-planet-of-the-apes,8,0,0
43in2014,2014-06-25,Gravity,/movie/gravity,8,0,0
43in2014,2014-06-25,12 Years a Slave,/movie/12-years-a-slave,8,0,1
43in2014,2014-06-25,The Wolf of Wall Street,/movie/the-wolf-of-wall-street,8,0,0
